date,drug_name,units_sold
2023-01-03,Hydrochlorothiazide 25 mg tablet,11
2023-01-03,Insulin glargine 100 units/mL pen,0
2023-01-03,Semaglutide 0.25/0.5 mg pen,1
2023-01-03,Naloxone 4 mg nasal spray,0
2023-01-04,Lisinopril 10 mg tablet,8
2023-01-04,Amlodipine 5 mg tablet,3
2023-01-04,Losartan 50 mg tablet,4
2023-01-04,Metformin 500 mg tablet,3
2023-01-04,Glipizide 5 mg tablet,4
2023-01-04,Atorvastatin 20 mg tablet,8
2023-01-04,Simvastatin 40 mg tablet,2
2023-01-04,Levothyroxine 50 mcg tablet,8
2023-01-04,Omeprazole 20 mg capsule,6
2023-01-04,Famotidine 20 mg tablet,3
2023-01-04,Albuterol HFA inhaler,0
2023-01-04,Fluticasone nasal spray,2
2023-01-04,Cetirizine 10 mg tablet,4
2023-01-04,Amoxicillin 500 mg capsule,7
2023-01-04,Amoxicillin-clavulanate 875/125 mg tablet,5
2023-01-04,Azithromycin 250 mg tablet,3
2023-01-04,Doxycycline 100 mg capsule,4
2023-01-04,Cephalexin 500 mg capsule,2
2023-01-04,Oseltamivir 75 mg capsule,0
2023-01-04,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-04,Prednisone 20 mg tablet,4
2023-01-04,Ibuprofen 200 mg tablet,17
2023-01-04,Acetaminophen 500 mg tablet,16
2023-01-04,Naproxen 500 mg tablet,4
2023-01-04,Gabapentin 300 mg capsule,7
2023-01-04,Sertraline 50 mg tablet,7
2023-01-04,Hydrochlorothiazide 25 mg tablet,3
2023-01-04,Insulin glargine 100 units/mL pen,3
2023-01-04,Semaglutide 0.25/0.5 mg pen,0
2023-01-04,Naloxone 4 mg nasal spray,0
2023-01-05,Lisinopril 10 mg tablet,19
2023-01-05,Amlodipine 5 mg tablet,6
2023-01-05,Losartan 50 mg tablet,1
2023-01-05,Metformin 500 mg tablet,6
2023-01-05,Glipizide 5 mg tablet,1
2023-01-05,Atorvastatin 20 mg tablet,7
2023-01-05,Simvastatin 40 mg tablet,4
2023-01-05,Levothyroxine 50 mcg tablet,4
2023-01-05,Omeprazole 20 mg capsule,5
2023-01-05,Famotidine 20 mg tablet,2
2023-01-05,Albuterol HFA inhaler,4
2023-01-05,Fluticasone nasal spray,4
2023-01-05,Cetirizine 10 mg tablet,5
2023-01-05,Amoxicillin 500 mg capsule,5
2023-01-05,Amoxicillin-clavulanate 875/125 mg tablet,7
2023-01-05,Azithromycin 250 mg tablet,6
2023-01-05,Doxycycline 100 mg capsule,4
2023-01-05,Cephalexin 500 mg capsule,2
2023-01-05,Oseltamivir 75 mg capsule,1
2023-01-05,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-05,Prednisone 20 mg tablet,3
2023-01-05,Ibuprofen 200 mg tablet,12
2023-01-05,Acetaminophen 500 mg tablet,22
2023-01-05,Naproxen 500 mg tablet,5
2023-01-05,Gabapentin 300 mg capsule,5
2023-01-05,Sertraline 50 mg tablet,6
2023-01-05,Hydrochlorothiazide 25 mg tablet,4
2023-01-05,Insulin glargine 100 units/mL pen,1
2023-01-05,Semaglutide 0.25/0.5 mg pen,0
2023-01-05,Naloxone 4 mg nasal spray,0
2023-01-06,Lisinopril 10 mg tablet,12
2023-01-06,Amlodipine 5 mg tablet,6
2023-01-06,Losartan 50 mg tablet,0
2023-01-06,Metformin 500 mg tablet,10
2023-01-06,Glipizide 5 mg tablet,3
2023-01-06,Atorvastatin 20 mg tablet,8
2023-01-06,Simvastatin 40 mg tablet,3
2023-01-06,Levothyroxine 50 mcg tablet,6
2023-01-06,Omeprazole 20 mg capsule,2
2023-01-06,Famotidine 20 mg tablet,3
2023-01-06,Albuterol HFA inhaler,10
2023-01-06,Fluticasone nasal spray,6
2023-01-06,Cetirizine 10 mg tablet,4
2023-01-06,Amoxicillin 500 mg capsule,1
2023-01-06,Amoxicillin-clavulanate 875/125 mg tablet,5
2023-01-06,Azithromycin 250 mg tablet,2
2023-01-06,Doxycycline 100 mg capsule,3
2023-01-06,Cephalexin 500 mg capsule,1
2023-01-06,Oseltamivir 75 mg capsule,2
2023-01-06,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-06,Prednisone 20 mg tablet,7
2023-01-06,Ibuprofen 200 mg tablet,12
2023-01-06,Acetaminophen 500 mg tablet,17
2023-01-06,Naproxen 500 mg tablet,6
2023-01-06,Gabapentin 300 mg capsule,8
2023-01-06,Sertraline 50 mg tablet,5
2023-01-06,Hydrochlorothiazide 25 mg tablet,6
2023-01-06,Insulin glargine 100 units/mL pen,2
2023-01-06,Semaglutide 0.25/0.5 mg pen,0
2023-01-06,Naloxone 4 mg nasal spray,0
2023-01-07,Lisinopril 10 mg tablet,2
2023-01-07,Amlodipine 5 mg tablet,0
2023-01-07,Losartan 50 mg tablet,1
2023-01-07,Metformin 500 mg tablet,1
2023-01-07,Glipizide 5 mg tablet,0
2023-01-07,Atorvastatin 20 mg tablet,0
2023-01-07,Simvastatin 40 mg tablet,0
2023-01-07,Levothyroxine 50 mcg tablet,0
2023-01-07,Omeprazole 20 mg capsule,0
2023-01-07,Famotidine 20 mg tablet,0
2023-01-07,Albuterol HFA inhaler,0
2023-01-07,Fluticasone nasal spray,0
2023-01-07,Cetirizine 10 mg tablet,0
2023-01-07,Amoxicillin 500 mg capsule,0
2023-01-07,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-01-07,Azithromycin 250 mg tablet,0
2023-01-07,Doxycycline 100 mg capsule,0
2023-01-07,Cephalexin 500 mg capsule,0
2023-01-07,Oseltamivir 75 mg capsule,1
2023-01-07,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-07,Prednisone 20 mg tablet,0
2023-01-07,Ibuprofen 200 mg tablet,1
2023-01-07,Acetaminophen 500 mg tablet,0
2023-01-07,Naproxen 500 mg tablet,2
2023-01-07,Gabapentin 300 mg capsule,1
2023-01-07,Sertraline 50 mg tablet,0
2023-01-07,Hydrochlorothiazide 25 mg tablet,1
2023-01-07,Insulin glargine 100 units/mL pen,0
2023-01-07,Semaglutide 0.25/0.5 mg pen,0
2023-01-07,Naloxone 4 mg nasal spray,0
2023-01-08,Lisinopril 10 mg tablet,0
2023-01-08,Amlodipine 5 mg tablet,2
2023-01-08,Losartan 50 mg tablet,1
2023-01-08,Metformin 500 mg tablet,1
2023-01-08,Glipizide 5 mg tablet,1
2023-01-08,Atorvastatin 20 mg tablet,1
2023-01-08,Simvastatin 40 mg tablet,0
2023-01-08,Levothyroxine 50 mcg tablet,0
2023-01-08,Omeprazole 20 mg capsule,1
2023-01-08,Famotidine 20 mg tablet,0
2023-01-08,Albuterol HFA inhaler,0
2023-01-08,Fluticasone nasal spray,1
2023-01-08,Cetirizine 10 mg tablet,0
2023-01-08,Amoxicillin 500 mg capsule,0
2023-01-08,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-01-08,Azithromycin 250 mg tablet,0
2023-01-08,Doxycycline 100 mg capsule,2
2023-01-08,Cephalexin 500 mg capsule,0
2023-01-08,Oseltamivir 75 mg capsule,0
2023-01-08,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-08,Prednisone 20 mg tablet,0
2023-01-08,Ibuprofen 200 mg tablet,1
2023-01-08,Acetaminophen 500 mg tablet,1
2023-01-08,Naproxen 500 mg tablet,1
2023-01-08,Gabapentin 300 mg capsule,0
2023-01-08,Sertraline 50 mg tablet,1
2023-01-08,Hydrochlorothiazide 25 mg tablet,1
2023-01-08,Insulin glargine 100 units/mL pen,0
2023-01-08,Semaglutide 0.25/0.5 mg pen,0
2023-01-08,Naloxone 4 mg nasal spray,0
2023-01-09,Lisinopril 10 mg tablet,13
2023-01-09,Amlodipine 5 mg tablet,10
2023-01-09,Losartan 50 mg tablet,4
2023-01-09,Metformin 500 mg tablet,8
2023-01-09,Glipizide 5 mg tablet,1
2023-01-09,Atorvastatin 20 mg tablet,11
2023-01-09,Simvastatin 40 mg tablet,1
2023-01-09,Levothyroxine 50 mcg tablet,10
2023-01-09,Omeprazole 20 mg capsule,6
2023-01-09,Famotidine 20 mg tablet,3
2023-01-09,Albuterol HFA inhaler,9
2023-01-09,Fluticasone nasal spray,4
2023-01-09,Cetirizine 10 mg tablet,6
2023-01-09,Amoxicillin 500 mg capsule,6
2023-01-09,Amoxicillin-clavulanate 875/125 mg tablet,4
2023-01-09,Azithromycin 250 mg tablet,6
2023-01-09,Doxycycline 100 mg capsule,5
2023-01-09,Cephalexin 500 mg capsule,7
2023-01-09,Oseltamivir 75 mg capsule,1
2023-01-09,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-09,Prednisone 20 mg tablet,5
2023-01-09,Ibuprofen 200 mg tablet,17
2023-01-09,Acetaminophen 500 mg tablet,19
2023-01-09,Naproxen 500 mg tablet,6
2023-01-09,Gabapentin 300 mg capsule,5
2023-01-09,Sertraline 50 mg tablet,10
2023-01-09,Hydrochlorothiazide 25 mg tablet,9
2023-01-09,Insulin glargine 100 units/mL pen,0
2023-01-09,Semaglutide 0.25/0.5 mg pen,2
2023-01-09,Naloxone 4 mg nasal spray,0
2023-01-10,Lisinopril 10 mg tablet,9
2023-01-10,Amlodipine 5 mg tablet,13
2023-01-10,Losartan 50 mg tablet,5
2023-01-10,Metformin 500 mg tablet,9
2023-01-10,Glipizide 5 mg tablet,0
2023-01-10,Atorvastatin 20 mg tablet,7
2023-01-10,Simvastatin 40 mg tablet,4
2023-01-10,Levothyroxine 50 mcg tablet,2
2023-01-10,Omeprazole 20 mg capsule,10
2023-01-10,Famotidine 20 mg tablet,6
2023-01-10,Albuterol HFA inhaler,10
2023-01-10,Fluticasone nasal spray,6
2023-01-10,Cetirizine 10 mg tablet,9
2023-01-10,Amoxicillin 500 mg capsule,4
2023-01-10,Amoxicillin-clavulanate 875/125 mg tablet,2
2023-01-10,Azithromycin 250 mg tablet,2
2023-01-10,Doxycycline 100 mg capsule,2
2023-01-10,Cephalexin 500 mg capsule,3
2023-01-10,Oseltamivir 75 mg capsule,1
2023-01-10,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-10,Prednisone 20 mg tablet,5
2023-01-10,Ibuprofen 200 mg tablet,11
2023-01-10,Acetaminophen 500 mg tablet,19
2023-01-10,Naproxen 500 mg tablet,4
2023-01-10,Gabapentin 300 mg capsule,4
2023-01-10,Sertraline 50 mg tablet,4
2023-01-10,Hydrochlorothiazide 25 mg tablet,10
2023-01-10,Insulin glargine 100 units/mL pen,0
2023-01-10,Semaglutide 0.25/0.5 mg pen,0
2023-01-10,Naloxone 4 mg nasal spray,0
2023-01-11,Lisinopril 10 mg tablet,7
2023-01-11,Amlodipine 5 mg tablet,11
2023-01-11,Losartan 50 mg tablet,4
2023-01-11,Metformin 500 mg tablet,9
2023-01-11,Glipizide 5 mg tablet,2
2023-01-11,Atorvastatin 20 mg tablet,4
2023-01-11,Simvastatin 40 mg tablet,4
2023-01-11,Levothyroxine 50 mcg tablet,5
2023-01-11,Omeprazole 20 mg capsule,4
2023-01-11,Famotidine 20 mg tablet,3
2023-01-11,Albuterol HFA inhaler,2
2023-01-11,Fluticasone nasal spray,3
2023-01-11,Cetirizine 10 mg tablet,3
2023-01-11,Amoxicillin 500 mg capsule,5
2023-01-11,Amoxicillin-clavulanate 875/125 mg tablet,3
2023-01-11,Azithromycin 250 mg tablet,5
2023-01-11,Doxycycline 100 mg capsule,3
2023-01-11,Cephalexin 500 mg capsule,4
2023-01-11,Oseltamivir 75 mg capsule,0
2023-01-11,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-11,Prednisone 20 mg tablet,2
2023-01-11,Ibuprofen 200 mg tablet,9
2023-01-11,Acetaminophen 500 mg tablet,15
2023-01-11,Naproxen 500 mg tablet,4
2023-01-11,Gabapentin 300 mg capsule,5
2023-01-11,Sertraline 50 mg tablet,5
2023-01-11,Hydrochlorothiazide 25 mg tablet,3
2023-01-11,Insulin glargine 100 units/mL pen,1
2023-01-11,Semaglutide 0.25/0.5 mg pen,0
2023-01-11,Naloxone 4 mg nasal spray,0
2023-01-12,Lisinopril 10 mg tablet,4
2023-01-12,Amlodipine 5 mg tablet,5
2023-01-12,Losartan 50 mg tablet,5
2023-01-12,Metformin 500 mg tablet,10
2023-01-12,Glipizide 5 mg tablet,1
2023-01-12,Atorvastatin 20 mg tablet,7
2023-01-12,Simvastatin 40 mg tablet,1
2023-01-12,Levothyroxine 50 mcg tablet,7
2023-01-12,Omeprazole 20 mg capsule,9
2023-01-12,Famotidine 20 mg tablet,5
2023-01-12,Albuterol HFA inhaler,6
2023-01-12,Fluticasone nasal spray,0
2023-01-12,Cetirizine 10 mg tablet,7
2023-01-12,Amoxicillin 500 mg capsule,4
2023-01-12,Amoxicillin-clavulanate 875/125 mg tablet,5
2023-01-12,Azithromycin 250 mg tablet,2
2023-01-12,Doxycycline 100 mg capsule,3
2023-01-12,Cephalexin 500 mg capsule,1
2023-01-12,Oseltamivir 75 mg capsule,1
2023-01-12,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-12,Prednisone 20 mg tablet,7
2023-01-12,Ibuprofen 200 mg tablet,16
2023-01-12,Acetaminophen 500 mg tablet,14
2023-01-12,Naproxen 500 mg tablet,2
2023-01-12,Gabapentin 300 mg capsule,3
2023-01-12,Sertraline 50 mg tablet,4
2023-01-12,Hydrochlorothiazide 25 mg tablet,5
2023-01-12,Insulin glargine 100 units/mL pen,2
2023-01-12,Semaglutide 0.25/0.5 mg pen,0
2023-01-12,Naloxone 4 mg nasal spray,0
2023-01-13,Lisinopril 10 mg tablet,4
2023-01-13,Amlodipine 5 mg tablet,12
2023-01-13,Losartan 50 mg tablet,4
2023-01-13,Metformin 500 mg tablet,12
2023-01-13,Glipizide 5 mg tablet,3
2023-01-13,Atorvastatin 20 mg tablet,3
2023-01-13,Simvastatin 40 mg tablet,2
2023-01-13,Levothyroxine 50 mcg tablet,5
2023-01-13,Omeprazole 20 mg capsule,5
2023-01-13,Famotidine 20 mg tablet,5
2023-01-13,Albuterol HFA inhaler,4
2023-01-13,Fluticasone nasal spray,2
2023-01-13,Cetirizine 10 mg tablet,11
2023-01-13,Amoxicillin 500 mg capsule,4
2023-01-13,Amoxicillin-clavulanate 875/125 mg tablet,4
2023-01-13,Azithromycin 250 mg tablet,3
2023-01-13,Doxycycline 100 mg capsule,5
2023-01-13,Cephalexin 500 mg capsule,5
2023-01-13,Oseltamivir 75 mg capsule,0
2023-01-13,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-13,Prednisone 20 mg tablet,5
2023-01-13,Ibuprofen 200 mg tablet,11
2023-01-13,Acetaminophen 500 mg tablet,23
2023-01-13,Naproxen 500 mg tablet,5
2023-01-13,Gabapentin 300 mg capsule,4
2023-01-13,Sertraline 50 mg tablet,4
2023-01-13,Hydrochlorothiazide 25 mg tablet,6
2023-01-13,Insulin glargine 100 units/mL pen,0
2023-01-13,Semaglutide 0.25/0.5 mg pen,0
2023-01-13,Naloxone 4 mg nasal spray,0
2023-01-14,Lisinopril 10 mg tablet,0
2023-01-14,Amlodipine 5 mg tablet,0
2023-01-14,Losartan 50 mg tablet,1
2023-01-14,Metformin 500 mg tablet,2
2023-01-14,Glipizide 5 mg tablet,0
2023-01-14,Atorvastatin 20 mg tablet,2
2023-01-14,Simvastatin 40 mg tablet,0
2023-01-14,Levothyroxine 50 mcg tablet,0
2023-01-14,Omeprazole 20 mg capsule,1
2023-01-14,Famotidine 20 mg tablet,1
2023-01-14,Albuterol HFA inhaler,1
2023-01-14,Fluticasone nasal spray,0
2023-01-14,Cetirizine 10 mg tablet,1
2023-01-14,Amoxicillin 500 mg capsule,0
2023-01-14,Amoxicillin-clavulanate 875/125 mg tablet,1
2023-01-14,Azithromycin 250 mg tablet,0
2023-01-14,Doxycycline 100 mg capsule,0
2023-01-14,Cephalexin 500 mg capsule,3
2023-01-14,Oseltamivir 75 mg capsule,0
2023-01-14,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-14,Prednisone 20 mg tablet,0
2023-01-14,Ibuprofen 200 mg tablet,1
2023-01-14,Acetaminophen 500 mg tablet,1
2023-01-14,Naproxen 500 mg tablet,0
2023-01-14,Gabapentin 300 mg capsule,0
2023-01-14,Sertraline 50 mg tablet,0
2023-01-14,Hydrochlorothiazide 25 mg tablet,0
2023-01-14,Insulin glargine 100 units/mL pen,1
2023-01-14,Semaglutide 0.25/0.5 mg pen,0
2023-01-14,Naloxone 4 mg nasal spray,0
2023-01-15,Lisinopril 10 mg tablet,0
2023-01-15,Amlodipine 5 mg tablet,0
2023-01-15,Losartan 50 mg tablet,0
2023-01-15,Metformin 500 mg tablet,1
2023-01-15,Glipizide 5 mg tablet,0
2023-01-15,Atorvastatin 20 mg tablet,4
2023-01-15,Simvastatin 40 mg tablet,0
2023-01-15,Levothyroxine 50 mcg tablet,1
2023-01-15,Omeprazole 20 mg capsule,0
2023-01-15,Famotidine 20 mg tablet,0
2023-01-15,Albuterol HFA inhaler,0
2023-01-15,Fluticasone nasal spray,0
2023-01-15,Cetirizine 10 mg tablet,0
2023-01-15,Amoxicillin 500 mg capsule,0
2023-01-15,Amoxicillin-clavulanate 875/125 mg tablet,1
2023-01-15,Azithromycin 250 mg tablet,0
2023-01-15,Doxycycline 100 mg capsule,0
2023-01-15,Cephalexin 500 mg capsule,0
2023-01-15,Oseltamivir 75 mg capsule,0
2023-01-15,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-15,Prednisone 20 mg tablet,1
2023-01-15,Ibuprofen 200 mg tablet,1
2023-01-15,Acetaminophen 500 mg tablet,1
2023-01-15,Naproxen 500 mg tablet,0
2023-01-15,Gabapentin 300 mg capsule,1
2023-01-15,Sertraline 50 mg tablet,0
2023-01-15,Hydrochlorothiazide 25 mg tablet,0
2023-01-15,Insulin glargine 100 units/mL pen,0
2023-01-15,Semaglutide 0.25/0.5 mg pen,0
2023-01-15,Naloxone 4 mg nasal spray,0
2023-01-16,Lisinopril 10 mg tablet,10
2023-01-16,Amlodipine 5 mg tablet,8
2023-01-16,Losartan 50 mg tablet,5
2023-01-16,Metformin 500 mg tablet,6
2023-01-16,Glipizide 5 mg tablet,5
2023-01-16,Atorvastatin 20 mg tablet,8
2023-01-16,Simvastatin 40 mg tablet,4
2023-01-16,Levothyroxine 50 mcg tablet,9
2023-01-16,Omeprazole 20 mg capsule,8
2023-01-16,Famotidine 20 mg tablet,3
2023-01-16,Albuterol HFA inhaler,7
2023-01-16,Fluticasone nasal spray,5
2023-01-16,Cetirizine 10 mg tablet,8
2023-01-16,Amoxicillin 500 mg capsule,4
2023-01-16,Amoxicillin-clavulanate 875/125 mg tablet,4
2023-01-16,Azithromycin 250 mg tablet,4
2023-01-16,Doxycycline 100 mg capsule,4
2023-01-16,Cephalexin 500 mg capsule,6
2023-01-16,Oseltamivir 75 mg capsule,1
2023-01-16,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-16,Prednisone 20 mg tablet,3
2023-01-16,Ibuprofen 200 mg tablet,21
2023-01-16,Acetaminophen 500 mg tablet,23
2023-01-16,Naproxen 500 mg tablet,10
2023-01-16,Gabapentin 300 mg capsule,7
2023-01-16,Sertraline 50 mg tablet,9
2023-01-16,Hydrochlorothiazide 25 mg tablet,9
2023-01-16,Insulin glargine 100 units/mL pen,1
2023-01-16,Semaglutide 0.25/0.5 mg pen,0
2023-01-16,Naloxone 4 mg nasal spray,0
2023-01-17,Lisinopril 10 mg tablet,8
2023-01-17,Amlodipine 5 mg tablet,7
2023-01-17,Losartan 50 mg tablet,5
2023-01-17,Metformin 500 mg tablet,15
2023-01-17,Glipizide 5 mg tablet,1
2023-01-17,Atorvastatin 20 mg tablet,8
2023-01-17,Simvastatin 40 mg tablet,4
2023-01-17,Levothyroxine 50 mcg tablet,8
2023-01-17,Omeprazole 20 mg capsule,11
2023-01-17,Famotidine 20 mg tablet,2
2023-01-17,Albuterol HFA inhaler,6
2023-01-17,Fluticasone nasal spray,4
2023-01-17,Cetirizine 10 mg tablet,8
2023-01-17,Amoxicillin 500 mg capsule,7
2023-01-17,Amoxicillin-clavulanate 875/125 mg tablet,5
2023-01-17,Azithromycin 250 mg tablet,4
2023-01-17,Doxycycline 100 mg capsule,5
2023-01-17,Cephalexin 500 mg capsule,5
2023-01-17,Oseltamivir 75 mg capsule,1
2023-01-17,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-17,Prednisone 20 mg tablet,7
2023-01-17,Ibuprofen 200 mg tablet,11
2023-01-17,Acetaminophen 500 mg tablet,15
2023-01-17,Naproxen 500 mg tablet,4
2023-01-17,Gabapentin 300 mg capsule,4
2023-01-17,Sertraline 50 mg tablet,7
2023-01-17,Hydrochlorothiazide 25 mg tablet,9
2023-01-17,Insulin glargine 100 units/mL pen,1
2023-01-17,Semaglutide 0.25/0.5 mg pen,0
2023-01-17,Naloxone 4 mg nasal spray,0
2023-01-18,Lisinopril 10 mg tablet,9
2023-01-18,Amlodipine 5 mg tablet,7
2023-01-18,Losartan 50 mg tablet,5
2023-01-18,Metformin 500 mg tablet,9
2023-01-18,Glipizide 5 mg tablet,1
2023-01-18,Atorvastatin 20 mg tablet,8
2023-01-18,Simvastatin 40 mg tablet,3
2023-01-18,Levothyroxine 50 mcg tablet,6
2023-01-18,Omeprazole 20 mg capsule,5
2023-01-18,Famotidine 20 mg tablet,3
2023-01-18,Albuterol HFA inhaler,5
2023-01-18,Fluticasone nasal spray,3
2023-01-18,Cetirizine 10 mg tablet,6
2023-01-18,Amoxicillin 500 mg capsule,4
2023-01-18,Amoxicillin-clavulanate 875/125 mg tablet,2
2023-01-18,Azithromycin 250 mg tablet,4
2023-01-18,Doxycycline 100 mg capsule,1
2023-01-18,Cephalexin 500 mg capsule,3
2023-01-18,Oseltamivir 75 mg capsule,0
2023-01-18,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-18,Prednisone 20 mg tablet,4
2023-01-18,Ibuprofen 200 mg tablet,13
2023-01-18,Acetaminophen 500 mg tablet,22
2023-01-18,Naproxen 500 mg tablet,4
2023-01-18,Gabapentin 300 mg capsule,3
2023-01-18,Sertraline 50 mg tablet,4
2023-01-18,Hydrochlorothiazide 25 mg tablet,3
2023-01-18,Insulin glargine 100 units/mL pen,1
2023-01-18,Semaglutide 0.25/0.5 mg pen,0
2023-01-18,Naloxone 4 mg nasal spray,1
2023-01-19,Lisinopril 10 mg tablet,11
2023-01-19,Amlodipine 5 mg tablet,4
2023-01-19,Losartan 50 mg tablet,6
2023-01-19,Metformin 500 mg tablet,8
2023-01-19,Glipizide 5 mg tablet,3
2023-01-19,Atorvastatin 20 mg tablet,8
2023-01-19,Simvastatin 40 mg tablet,4
2023-01-19,Levothyroxine 50 mcg tablet,4
2023-01-19,Omeprazole 20 mg capsule,12
2023-01-19,Famotidine 20 mg tablet,3
2023-01-19,Albuterol HFA inhaler,3
2023-01-19,Fluticasone nasal spray,3
2023-01-19,Cetirizine 10 mg tablet,0
2023-01-19,Amoxicillin 500 mg capsule,2
2023-01-19,Amoxicillin-clavulanate 875/125 mg tablet,5
2023-01-19,Azithromycin 250 mg tablet,4
2023-01-19,Doxycycline 100 mg capsule,3
2023-01-19,Cephalexin 500 mg capsule,2
2023-01-19,Oseltamivir 75 mg capsule,0
2023-01-19,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-19,Prednisone 20 mg tablet,1
2023-01-19,Ibuprofen 200 mg tablet,14
2023-01-19,Acetaminophen 500 mg tablet,12
