medication_id,medication_name,medication_category,current_inventory,reorder_point,max_capacity,prescription_volume_30d,avg_weekly_demand,demand_trend,supplier_id,supplier_lead_time_days,supplier_reliability_score,historical_shortage_count,days_since_last_shortage,avg_stockout_duration_days,risk_label
MED1DC96B,Sumatriptan 50mg,neurological,484.0,815.0,1366.0,2604.0,483.0,0.26,SUP031,13.0,0.819,2,46.0,2.4,0
MEDF0CF64,Azithromycin 250mg,antibiotic,1686.0,918.0,2821.0,1366.0,410.0,-0.27,SUP002,4.0,0.908,0,111.0,0.0,0
MED88E700,Atorvastatin 20mg,cardiovascular,113.0,232.0,417.0,731.0,130.0,0.17,SUP010,6.0,0.811,0,209.0,0.0,0
MEDDD2D8C,Naproxen 500mg,analgesic,204.0,143.0,293.0,189.0,59.0,0.12,SUP017,4.0,0.865,1,18.0,4.9,0
MED0FC0FA,Montelukast 10mg,respiratory,2712.0,242.0,4273.0,546.0,214.0,0.21,SUP022,9.0,0.979,0,163.0,0.0,0
MED39EC1B,Albuterol Inhaler,respiratory,444.0,668.0,988.0,1272.0,315.0,-0.04,SUP020,13.0,0.741,2,112.0,0.4,0
MEDC867C4,Cyclophosphamide 500mg,oncology,2361.0,859.0,3255.0,1461.0,470.0,0.03,SUP041,20.0,0.675,1,12.0,1.4,1
MED47C8FB,Ciprofloxacin 500mg,antibiotic,286.0,910.0,3083.0,798.0,230.0,0.23,SUP003,11.0,0.908,0,349.0,0.0,0
MED19A877,Amlodipine 5mg,cardiovascular,3345.0,335.0,4254.0,748.0,168.0,0.04,SUP008,6.0,1.0,0,181.0,0.0,0
MED97619C,Acetaminophen/Codeine #3,analgesic,3064.0,712.0,3205.0,1972.0,356.0,0.31,SUP018,8.0,0.683,0,321.0,0.0,0
MED5EA1CC,Methotrexate 2.5mg,oncology,860.0,376.0,2589.0,905.0,156.0,-0.22,SUP040,23.0,0.688,2,156.0,2.8,1
MEDC928A6,Methylphenidate 20mg,psychiatric,875.0,1401.0,3722.0,1679.0,355.0,0.21,SUP039,9.0,0.622,0,116.0,0.0,1
MED5D0FF0,Budesonide Inhaler,respiratory,962.0,136.0,2845.0,171.0,57.0,0.1,SUP021,4.0,0.932,1,51.0,0.9,0
MEDE59884,Ciprofloxacin 500mg,antibiotic,3480.0,1108.0,3992.0,793.0,322.0,-0.28,SUP003,8.0,0.83,2,117.0,2.5,0
MED1EB129,Methotrexate 15mg,immunological,1636.0,512.0,3245.0,828.0,263.0,0.14,SUP040,24.0,0.669,4,168.0,0.4,1
MEDE4A07E,Atorvastatin 20mg,cardiovascular,1646.0,365.0,1892.0,437.0,100.0,-0.24,SUP010,4.0,0.914,0,55.0,0.0,0
MED6676D2,Warfarin 5mg,cardiovascular,951.0,1507.0,1192.0,1984.0,420.0,-0.21,SUP011,18.0,0.751,5,153.0,1.0,1
MEDD78476,Amphetamine Salt Combo 20mg,psychiatric,2244.0,1348.0,3595.0,1195.0,435.0,0.49,SUP039,24.0,0.577,3,122.0,13.4,0
MEDDE030F,Aspirin 81mg,analgesic,1959.0,539.0,4370.0,1416.0,258.0,0.3,SUP016,4.0,0.929,1,20.0,11.6,0
MEDBB95C0,Aspirin 81mg,analgesic,2212.0,255.0,2851.0,487.0,173.0,-0.04,SUP016,3.0,1.0,0,107.0,0.0,0
MEDCBB507,Empagliflozin 10mg,diabetes,849.0,94.0,1852.0,168.0,42.0,-0.29,SUP015,8.0,0.858,1,139.0,1.9,0
MEDC219DE,Ciprofloxacin 500mg,antibiotic,3153.0,807.0,3541.0,1130.0,209.0,0.06,SUP003,13.0,0.916,0,40.0,0.0,0
MEDD03057,Tacrolimus 1mg,immunological,3861.0,35.0,4007.0,45.0,13.0,0.3,SUP046,6.0,0.82,2,100.0,3.4,0
MEDC8AFF1,Sumatriptan 50mg,neurological,1806.0,1418.0,4573.0,1287.0,419.0,0.05,SUP031,7.0,0.794,2,70.0,0.8,0
MEDF234EA,Cephalexin 500mg,antibiotic,2781.0,1180.0,2853.0,1042.0,352.0,-0.22,SUP001,9.0,0.881,0,269.0,0.0,0
MEDFE21CB,Mycophenolate 500mg,immunological,303.0,398.0,320.0,559.0,110.0,0.36,SUP046,11.0,0.738,1,7.0,0.4,0
MEDCD57CA,Lamotrigine 100mg,neurological,205.0,236.0,3882.0,400.0,103.0,0.46,SUP029,7.0,0.878,2,84.0,0.4,0
MED98DD10,Famotidine 20mg,gastrointestinal,3080.0,577.0,3205.0,735.0,152.0,0.04,SUP025,5.0,0.926,1,65.0,3.4,0
MEDE1A7C7,Sertraline 50mg,psychiatric,2866.0,64.0,4518.0,89.0,36.0,-0.25,SUP033,5.0,0.889,0,363.0,0.0,1
MEDD72181,Ciprofloxacin 500mg,antibiotic,41.0,1711.0,1733.0,1190.0,439.0,0.3,SUP003,7.0,0.836,2,62.0,1.7,0
MEDFB42C8,Furosemide 40mg,cardiovascular,1432.0,510.0,1885.0,1281.0,248.0,0.47,SUP006,4.0,0.903,0,218.0,0.0,0
MEDBF7EF6,Adalimumab 40mg,immunological,221.0,465.0,1441.0,364.0,169.0,0.49,SUP045,20.0,0.663,0,189.0,0.0,1
MEDBBBD09,Topiramate 25mg,neurological,1212.0,110.0,1724.0,122.0,48.0,0.12,SUP030,7.0,0.864,2,179.0,4.9,0
MEDD57A39,Adalimumab 40mg,immunological,336.0,1121.0,4736.0,1911.0,410.0,-0.26,SUP045,16.0,0.704,3,110.0,4.8,1
MED53785E,Clopidogrel 75mg,cardiovascular,1720.0,47.0,2895.0,45.0,16.0,0.07,SUP008,4.0,0.858,0,251.0,0.0,0
MED04BCA6,Fluoxetine 20mg,psychiatric,3005.0,367.0,3667.0,533.0,100.0,0.48,SUP034,5.0,0.872,2,70.0,1.9,0
MED8C2B60,Cisplatin 50mg,oncology,3382.0,839.0,3908.0,740.0,233.0,-0.17,SUP044,23.0,0.639,8,83.0,0.1,1
MED0D5F0B,Amlodipine 5mg,cardiovascular,3073.0,371.0,3792.0,656.0,134.0,0.49,SUP008,4.0,0.959,0,202.0,0.0,1
MED38CAAF,Pantoprazole 40mg,gastrointestinal,1453.0,250.0,4094.0,410.0,118.0,0.48,SUP024,6.0,0.814,3,72.0,1.6,0
MED2F2126,Budesonide Inhaler,respiratory,48.0,97.0,183.0,275.0,76.0,0.32,SUP021,7.0,0.86,2,105.0,3.0,0
MEDD3972A,Gabapentin 300mg,analgesic,141.0,334.0,4120.0,779.0,239.0,0.24,SUP019,10.0,0.752,2,57.0,5.6,0
MED493A72,Aspirin 81mg,analgesic,3876.0,764.0,4864.0,939.0,198.0,0.12,SUP016,3.0,1.0,0,206.0,0.0,0
MED2F065A,Paclitaxel 100mg,oncology,1858.0,923.0,2982.0,1365.0,369.0,0.15,SUP044,24.0,0.618,2,65.0,0.1,1
MED88FAF2,Tramadol 50mg,analgesic,379.0,782.0,1079.0,1223.0,390.0,0.26,SUP018,21.0,0.752,1,124.0,0.1,0
MEDA5D20A,Mycophenolate 500mg,immunological,823.0,580.0,4988.0,506.0,154.0,0.01,SUP046,3.0,0.813,2,76.0,3.6,0
MED4C748C,Glipizide 5mg,diabetes,136.0,164.0,215.0,340.0,100.0,0.2,SUP013,9.0,0.826,2,12.0,13.1,0
MED7EE582,Doxorubicin 50mg,oncology,1005.0,441.0,1134.0,697.0,336.0,0.07,SUP043,16.0,0.545,4,147.0,0.4,1
MED45AC2F,Methylphenidate 20mg,psychiatric,210.0,233.0,2891.0,452.0,104.0,-0.02,SUP039,23.0,0.485,4,30.0,0.2,1
MED0FFB07,Topiramate 25mg,neurological,644.0,1007.0,706.0,719.0,305.0,-0.16,SUP030,5.0,0.813,0,107.0,0.0,0
MED1DC824,Prednisone 5mg,immunological,121.0,422.0,797.0,700.0,137.0,-0.13,SUP023,3.0,0.895,0,340.0,0.0,0
MED18A384,Methotrexate 15mg,immunological,3690.0,657.0,4380.0,712.0,204.0,-0.27,SUP040,14.0,0.798,2,151.0,10.3,0
MEDB2F6C9,Budesonide Inhaler,respiratory,212.0,220.0,593.0,174.0,60.0,0.3,SUP021,5.0,0.903,0,165.0,0.0,0
MED0FD26A,Metformin 1000mg,diabetes,153.0,452.0,1523.0,589.0,292.0,0.09,SUP012,3.0,0.883,1,105.0,3.1,0
MED6E59A7,Tacrolimus 1mg,immunological,948.0,62.0,2485.0,142.0,26.0,0.42,SUP046,7.0,0.803,1,73.0,0.6,0
MED0855C2,Sertraline 100mg,psychiatric,541.0,1763.0,2012.0,2173.0,483.0,-0.11,SUP033,1.0,0.966,0,131.0,0.0,0
MEDC804E2,Fluorouracil 500mg,oncology,544.0,766.0,1320.0,1096.0,475.0,-0.04,SUP042,14.0,0.661,1,16.0,0.6,1
MED10DA35,Budesonide Inhaler,respiratory,2364.0,1380.0,4762.0,1216.0,481.0,0.24,SUP021,8.0,0.871,1,120.0,0.5,0
MED4987C4,Carbamazepine 200mg,neurological,4045.0,734.0,4199.0,736.0,286.0,0.3,SUP028,10.0,0.959,0,336.0,0.0,1
MED17E37F,Baclofen 10mg,neurological,1025.0,345.0,2740.0,825.0,319.0,-0.01,SUP032,6.0,0.811,2,59.0,21.5,0
MED96DAEF,Mycophenolate 500mg,immunological,137.0,402.0,269.0,234.0,107.0,-0.22,SUP046,13.0,0.69,1,45.0,0.9,1
MED8DB386,Venlafaxine 75mg,psychiatric,892.0,959.0,1586.0,1625.0,309.0,-0.16,SUP036,5.0,0.82,1,24.0,3.7,0
MED810C16,Carbamazepine 200mg,neurological,428.0,682.0,2730.0,1381.0,353.0,-0.21,SUP028,7.0,0.854,1,106.0,10.0,0
MED8C8511,Theophylline 200mg,respiratory,3115.0,1552.0,3380.0,927.0,426.0,-0.16,SUP020,15.0,0.711,4,117.0,7.3,0
MEDB7B142,Montelukast 10mg,respiratory,827.0,1458.0,1049.0,812.0,405.0,0.04,SUP022,3.0,0.832,1,169.0,0.6,0
MED08425F,Lithium 300mg,psychiatric,530.0,291.0,544.0,530.0,106.0,0.16,SUP038,14.0,0.694,1,128.0,3.8,0
MEDCEA22A,Ciprofloxacin 500mg,antibiotic,536.0,585.0,2287.0,1479.0,291.0,-0.19,SUP003,8.0,0.813,0,278.0,0.0,0
MEDB8F52B,Methotrexate 15mg,immunological,1128.0,176.0,1397.0,903.0,169.0,0.25,SUP040,17.0,0.67,3,105.0,2.1,0
MED0ECBD2,Warfarin 5mg,cardiovascular,315.0,1361.0,1062.0,1279.0,341.0,-0.16,SUP011,14.0,0.788,0,290.0,0.0,0
MED3E7333,Topiramate 25mg,neurological,1870.0,416.0,3968.0,416.0,134.0,0.37,SUP030,10.0,0.864,0,226.0,0.0,0
MED1876E9,Mycophenolate 500mg,immunological,142.0,1017.0,1218.0,2486.0,452.0,-0.17,SUP046,13.0,0.73,0,242.0,0.0,0
MEDC19FB6,Doxorubicin 50mg,oncology,92.0,66.0,121.0,163.0,28.0,0.12,SUP043,23.0,0.657,3,151.0,2.9,1
MED49FF1A,Fluoxetine 20mg,psychiatric,1983.0,638.0,3758.0,1250.0,285.0,-0.06,SUP034,2.0,0.876,1,142.0,1.3,0
MED095209,Topiramate 25mg,neurological,772.0,944.0,2736.0,2081.0,455.0,0.13,SUP030,8.0,0.828,2,99.0,14.1,0
MEDB563EC,Levetiracetam 500mg,neurological,1937.0,1171.0,2706.0,1572.0,391.0,-0.19,SUP028,10.0,0.766,4,170.0,0.8,0
MEDCE05C6,Insulin Lispro 100U/mL,diabetes,257.0,165.0,403.0,235.0,42.0,0.3,SUP014,13.0,0.545,0,199.0,0.0,0
MEDF26D92,Sertraline 100mg,psychiatric,3743.0,507.0,4408.0,2431.0,476.0,0.4,SUP033,6.0,0.965,0,103.0,0.0,0
MED2F870D,Metformin 500mg,diabetes,1085.0,1103.0,3946.0,2096.0,410.0,-0.18,SUP012,4.0,0.974,0,233.0,0.0,0
MED08E29D,Polyethylene Glycol 17g,gastrointestinal,2594.0,703.0,4471.0,962.0,204.0,0.21,SUP027,5.0,0.958,0,48.0,0.0,0
MED99B42A,Aspirin 81mg,analgesic,185.0,1280.0,1963.0,985.0,392.0,-0.02,SUP016,3.0,0.858,0,354.0,0.0,0
MED5C1098,Warfarin 5mg,cardiovascular,613.0,424.0,1462.0,824.0,365.0,0.02,SUP011,18.0,0.789,2,84.0,4.4,0
MED4339E0,Montelukast 10mg,respiratory,596.0,480.0,3170.0,1003.0,230.0,-0.29,SUP022,6.0,0.982,0,240.0,0.0,0
MED06757A,Metformin 1000mg,diabetes,1248.0,147.0,1534.0,258.0,50.0,0.26,SUP012,5.0,0.915,2,175.0,4.3,0
MED8AEFD1,Methotrexate 15mg,immunological,1306.0,506.0,2002.0,962.0,246.0,0.29,SUP040,23.0,0.633,3,66.0,20.9,0
MED3B6EC2,Venlafaxine 75mg,psychiatric,605.0,316.0,4577.0,356.0,90.0,0.02,SUP036,8.0,0.977,0,330.0,0.0,0
MED9BE971,Baclofen 10mg,neurological,1237.0,446.0,2148.0,879.0,243.0,-0.3,SUP032,6.0,0.884,0,277.0,0.0,0
MED5D4E2E,Sumatriptan 50mg,neurological,1211.0,1020.0,3040.0,1212.0,304.0,0.44,SUP031,3.0,0.833,1,6.0,6.7,0
MED1DCFFC,Carbamazepine 200mg,neurological,12.0,315.0,166.0,474.0,82.0,0.06,SUP028,7.0,0.765,0,284.0,0.0,0
MED97632B,Fluticasone Nasal Spray,respiratory,2607.0,219.0,2986.0,561.0,122.0,0.04,SUP021,4.0,0.86,1,65.0,4.3,0
MEDE7FEA5,Empagliflozin 10mg,diabetes,661.0,371.0,895.0,1294.0,331.0,0.47,SUP015,8.0,0.819,0,255.0,0.0,1
MED1EC6B4,Docusate 100mg,gastrointestinal,604.0,139.0,1176.0,303.0,56.0,0.5,SUP025,3.0,0.87,1,107.0,0.3,0
MED310937,Sitagliptin 100mg,diabetes,2997.0,1545.0,4518.0,1943.0,458.0,0.42,SUP015,8.0,0.831,0,169.0,0.0,0
MED9CF804,Prednisone 10mg,respiratory,1387.0,627.0,2517.0,1743.0,392.0,-0.25,SUP023,3.0,1.0,0,68.0,0.0,0
MED099B39,Acetaminophen/Codeine #3,analgesic,739.0,601.0,4665.0,408.0,197.0,0.12,SUP018,22.0,0.707,2,68.0,0.8,0
MEDBB519E,Quetiapine 50mg,psychiatric,1560.0,1151.0,2247.0,1378.0,309.0,0.46,SUP037,8.0,0.824,1,28.0,5.2,0
MEDDDD75A,Sertraline 50mg,psychiatric,1813.0,241.0,4699.0,1004.0,177.0,-0.18,SUP033,5.0,0.872,2,119.0,1.3,0
MED9D0F1E,Theophylline 200mg,respiratory,572.0,80.0,3444.0,157.0,69.0,-0.28,SUP020,7.0,0.776,0,185.0,0.0,0
MEDDAC558,Lisinopril 20mg,cardiovascular,1100.0,741.0,2023.0,1723.0,464.0,0.22,SUP006,4.0,0.894,0,262.0,0.0,0
MED677BC3,Carboplatin 150mg,oncology,1265.0,1239.0,4911.0,2121.0,390.0,0.28,SUP042,13.0,0.658,4,26.0,1.7,1
MED73A9DA,Tacrolimus 1mg,immunological,1517.0,53.0,2391.0,108.0,26.0,0.41,SUP046,18.0,0.677,2,114.0,2.4,0
MEDEE9246,Omeprazole 20mg,gastrointestinal,2641.0,655.0,3109.0,700.0,288.0,0.2,SUP024,5.0,0.822,1,102.0,2.9,0
MEDE223FF,Warfarin 5mg,cardiovascular,217.0,392.0,850.0,801.0,349.0,0.31,SUP011,13.0,0.791,0,200.0,0.0,0
MED13B26D,Sitagliptin 100mg,diabetes,562.0,398.0,4725.0,336.0,115.0,0.42,SUP015,9.0,0.868,1,151.0,0.1,0
MEDF48F6F,Tramadol 50mg,analgesic,1220.0,418.0,1308.0,1393.0,413.0,0.21,SUP018,6.0,0.735,1,38.0,9.0,0
MED8E802C,Doxorubicin 50mg,oncology,1353.0,72.0,1529.0,199.0,66.0,-0.16,SUP043,19.0,0.631,1,4.0,12.3,1
MED777EC0,Tramadol 50mg,analgesic,67.0,38.0,229.0,96.0,32.0,-0.08,SUP018,10.0,0.73,3,108.0,0.1,0
MED55E609,Warfarin 5mg,cardiovascular,1482.0,1459.0,3772.0,2031.0,408.0,0.18,SUP011,18.0,0.793,1,28.0,12.3,0
MED2D47EC,Acetaminophen 500mg,analgesic,3752.0,493.0,4371.0,359.0,164.0,0.12,SUP016,1.0,0.848,0,61.0,0.0,0
MEDE657AD,Topiramate 25mg,neurological,729.0,715.0,984.0,672.0,261.0,-0.23,SUP030,5.0,0.866,1,21.0,2.5,0
MED5EB458,Metformin 500mg,diabetes,1123.0,514.0,1133.0,632.0,150.0,0.28,SUP012,3.0,0.864,0,225.0,0.0,0
MED96A3EF,Doxorubicin 50mg,oncology,2479.0,708.0,3816.0,739.0,268.0,0.23,SUP043,32.0,0.583,3,180.0,1.5,1
MED9189D9,Fluorouracil 500mg,oncology,935.0,664.0,3623.0,829.0,241.0,0.1,SUP042,15.0,0.641,3,117.0,0.4,1
MEDA83F9F,Losartan 50mg,cardiovascular,2724.0,300.0,3596.0,723.0,170.0,0.25,SUP009,14.0,0.838,1,40.0,8.5,0
MED5BD8C6,Sertraline 100mg,psychiatric,95.0,163.0,847.0,130.0,53.0,-0.08,SUP033,7.0,0.922,0,220.0,0.0,0
MED24AC89,Methotrexate 2.5mg,oncology,4600.0,1649.0,4904.0,1673.0,499.0,0.43,SUP040,12.0,0.664,2,172.0,1.0,0
MED926AD7,Polyethylene Glycol 17g,gastrointestinal,2953.0,559.0,3564.0,1497.0,454.0,0.29,SUP027,5.0,0.963,1,154.0,5.9,0
MED7A2C24,Furosemide 40mg,cardiovascular,1267.0,454.0,4256.0,482.0,118.0,0.09,SUP006,4.0,0.897,0,144.0,0.0,0
MEDD2C5DC,Polyethylene Glycol 17g,gastrointestinal,941.0,483.0,4656.0,983.0,198.0,-0.27,SUP027,5.0,0.951,0,145.0,0.0,0
MEDB0779E,Methotrexate 2.5mg,oncology,738.0,58.0,2290.0,137.0,24.0,0.48,SUP040,12.0,0.722,4,80.0,8.8,0
MED7F5405,Omeprazole 20mg,gastrointestinal,293.0,1614.0,1586.0,2256.0,455.0,-0.12,SUP024,4.0,0.905,0,235.0,0.0,0
MED959EB7,Amoxicillin 875mg,antibiotic,3081.0,334.0,4445.0,472.0,120.0,-0.03,SUP001,6.0,0.861,1,88.0,1.9,0
MEDDEA81B,Theophylline 200mg,respiratory,2324.0,1628.0,2757.0,987.0,407.0,-0.04,SUP020,12.0,0.812,3,14.0,0.1,0
MED7C4098,Adalimumab 40mg,immunological,453.0,487.0,768.0,732.0,149.0,0.45,SUP045,21.0,0.664,4,125.0,3.3,1
MED43D6DD,Carbamazepine 200mg,neurological,1049.0,629.0,1865.0,1498.0,396.0,0.49,SUP028,8.0,0.886,1,111.0,2.7,0
MEDD558A0,Tacrolimus 1mg,immunological,2526.0,444.0,4416.0,1153.0,351.0,-0.21,SUP046,14.0,0.716,1,102.0,1.8,0
MED0A4F11,Amoxicillin 500mg,antibiotic,432.0,556.0,1774.0,468.0,164.0,0.24,SUP001,4.0,0.753,2,66.0,0.5,0
MEDA3F719,Lisinopril 10mg,cardiovascular,3527.0,751.0,4174.0,1048.0,392.0,0.46,SUP006,3.0,0.969,0,224.0,0.0,0
MEDEBE70D,Pregabalin 75mg,analgesic,2901.0,583.0,4677.0,1685.0,436.0,0.49,SUP019,10.0,0.764,1,11.0,5.2,0
MEDFD8C3D,Sertraline 100mg,psychiatric,1758.0,891.0,2664.0,1436.0,304.0,-0.12,SUP033,10.0,0.904,0,357.0,0.0,0
MEDC5B19C,Atorvastatin 20mg,cardiovascular,166.0,220.0,270.0,737.0,133.0,0.32,SUP010,4.0,0.869,0,215.0,0.0,0
MED014E6F,Metoprolol Succinate 100mg,cardiovascular,1640.0,847.0,3669.0,783.0,311.0,0.26,SUP007,6.0,0.941,0,232.0,0.0,0
MED5FAADA,Pantoprazole 40mg,gastrointestinal,688.0,564.0,2828.0,1861.0,408.0,-0.12,SUP024,5.0,0.872,1,163.0,4.3,0
MED108687,Fluorouracil 500mg,oncology,2643.0,340.0,2962.0,619.0,189.0,0.41,SUP042,13.0,0.639,5,27.0,2.6,1
MEDC1E280,Ibuprofen 600mg,analgesic,1342.0,553.0,1352.0,1160.0,399.0,0.28,SUP016,2.0,0.871,1,161.0,1.2,0
MEDAE85E1,Mycophenolate 500mg,immunological,3612.0,1019.0,3777.0,2000.0,358.0,0.38,SUP046,11.0,0.734,2,81.0,8.7,0
MED650655,Warfarin 5mg,cardiovascular,1240.0,1148.0,3722.0,1228.0,333.0,0.15,SUP011,8.0,0.846,0,332.0,0.0,0
MED8155FE,Cyclophosphamide 500mg,oncology,1851.0,284.0,2642.0,550.0,246.0,0.23,SUP041,17.0,0.662,7,95.0,0.9,1
